ChangeId,OpportunityCode,AccountName,OpportunityName,FieldChanged,OldValue,NewValue,ChangeDate,ChangedByFullName,ChangedByEmail
CHG-000012,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,ForecastCategory,Omitted,Pipeline,2026-06-19,Timothy Green,timothy.green@global.ntt
CHG-000013,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,Confidence,0.00,0.17,2026-06-19,Timothy Green,timothy.green@global.ntt
CHG-000014,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,SFDC_ACV_Revenue,20545.9,17132.72,2026-06-21,Timothy Green,timothy.green@global.ntt
CHG-000015,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,SFDC_ACV_Gp,3188.65,2658.94,2026-06-21,Timothy Green,timothy.green@global.ntt
CHG-000016,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,OpportunityStage,Qualification,Proposal,2026-06-26,Timothy Green,timothy.green@global.ntt
CHG-000017,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,OpportunityStage,Proposal,Proposal Evaluation,2026-07-02,Timothy Green,timothy.green@global.ntt
CHG-000018,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,ForecastCategory,Pipeline,Best Case,2026-07-02,Timothy Green,timothy.green@global.ntt
CHG-000019,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,Confidence,0.17,0.68,2026-07-02,Timothy Green,timothy.green@global.ntt
CHG-000020,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,OpportunityStage,Proposal Evaluation,Finalist,2026-07-07,Timothy Green,timothy.green@global.ntt
CHG-000021,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,OpportunityStage,Finalist,Deal Lost,2026-07-15,Timothy Green,timothy.green@global.ntt
CHG-000022,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,ForecastCategory,Best Case,Omitted,2026-07-15,Timothy Green,timothy.green@global.ntt
CHG-000023,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,Confidence,0.68,0.05,2026-07-15,Timothy Green,timothy.green@global.ntt
CHG-000024,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,SFDC_ACV_Revenue,17132.72,17464.37,2026-07-15,Timothy Green,timothy.green@global.ntt
CHG-000025,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,SFDC_ACV_Gp,2658.94,2710.41,2026-07-15,Timothy Green,timothy.green@global.ntt
CHG-000026,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,ForecastCategory,Not Set,Pipeline,2026-08-29,Scott Stewart,scott.stewart@global.ntt
CHG-000027,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,Confidence,0.00,0.20,2026-08-29,Scott Stewart,scott.stewart@global.ntt
CHG-000028,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,SFDC_ACV_Revenue,0,4292.47,2026-08-29,Scott Stewart,scott.stewart@global.ntt
CHG-000029,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,SFDC_ACV_Gp,0,565.32,2026-08-29,Scott Stewart,scott.stewart@global.ntt
CHG-000030,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,OpportunityStage,Qualification,Proposal,2026-08-30,Scott Stewart,scott.stewart@global.ntt
CHG-000031,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,ForecastCategory,Pipeline,Commit,2026-08-30,Scott Stewart,scott.stewart@global.ntt
CHG-000032,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,Confidence,0.20,0.68,2026-08-30,Scott Stewart,scott.stewart@global.ntt
CHG-000033,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,OpportunityStage,Proposal,Proposal Evaluation,2026-09-01,Scott Stewart,scott.stewart@global.ntt
CHG-000034,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,SFDC_ACV_Revenue,4292.47,3413.68,2026-09-06,Scott Stewart,scott.stewart@global.ntt
CHG-000035,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,SFDC_ACV_Gp,565.32,449.59,2026-09-06,Scott Stewart,scott.stewart@global.ntt
CHG-000036,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,OpportunityStage,Proposal Evaluation,Finalist,2026-09-14,Scott Stewart,scott.stewart@global.ntt
CHG-000037,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,OpportunityStage,Finalist,Deal Lost,2026-09-14,Scott Stewart,scott.stewart@global.ntt
CHG-000038,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,ForecastCategory,Commit,Omitted,2026-09-14,Scott Stewart,scott.stewart@global.ntt
CHG-000039,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,Confidence,0.68,0.00,2026-09-14,Scott Stewart,scott.stewart@global.ntt
CHG-000040,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,SFDC_ACV_Revenue,3413.68,3386.83,2026-09-14,Scott Stewart,scott.stewart@global.ntt
CHG-000041,00605ABRUJWJ7GXTDV,Northgate Logistics Inc.,Northgate Logistics Inc. - Firewall Upgrade,SFDC_ACV_Gp,449.59,446.05,2026-09-14,Scott Stewart,scott.stewart@global.ntt
CHG-000042,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,ForecastCategory,Not Set,Omitted,2026-04-11,Rebecca Scott,rebecca.scott@global.ntt
CHG-000043,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,Confidence,0.00,0.04,2026-04-11,Rebecca Scott,rebecca.scott@global.ntt
CHG-000044,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,SFDC_ACV_Revenue,0,52935.12,2026-04-11,Rebecca Scott,rebecca.scott@global.ntt
CHG-000045,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,SFDC_ACV_Gp,0,10010.12,2026-04-11,Rebecca Scott,rebecca.scott@global.ntt
CHG-000046,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,OpportunityStage,Identification,Requirements Definition,2026-04-13,Rebecca Scott,rebecca.scott@global.ntt
CHG-000047,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,OpportunityStage,Requirements Definition,Qualification,2026-05-12,Rebecca Scott,rebecca.scott@global.ntt
CHG-000048,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,ForecastCategory,Omitted,Pipeline,2026-05-12,Rebecca Scott,rebecca.scott@global.ntt
CHG-000049,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,Confidence,0.04,0.14,2026-05-12,Rebecca Scott,rebecca.scott@global.ntt
CHG-000050,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,OpportunityStage,Qualification,Proposal,2026-05-17,Rebecca Scott,rebecca.scott@global.ntt
CHG-000051,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,SFDC_ACV_Revenue,52935.12,34155.56,2026-05-21,Rebecca Scott,rebecca.scott@global.ntt
CHG-000052,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,SFDC_ACV_Gp,10010.12,6458.88,2026-05-21,Rebecca Scott,rebecca.scott@global.ntt
CHG-000053,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,OpportunityStage,Proposal,Proposal Evaluation,2026-06-07,Rebecca Scott,rebecca.scott@global.ntt
CHG-000054,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,ForecastCategory,Pipeline,Commit,2026-06-07,Rebecca Scott,rebecca.scott@global.ntt
CHG-000055,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,Confidence,0.14,0.80,2026-06-07,Rebecca Scott,rebecca.scott@global.ntt
CHG-000056,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,OpportunityStage,Proposal Evaluation,Finalist,2026-06-24,Rebecca Scott,rebecca.scott@global.ntt
CHG-000057,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,OpportunityStage,Finalist,Deal Lost,2026-07-01,Rebecca Scott,rebecca.scott@global.ntt
CHG-000058,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,ForecastCategory,Commit,Omitted,2026-07-01,Rebecca Scott,rebecca.scott@global.ntt
CHG-000059,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,Confidence,0.80,0.01,2026-07-01,Rebecca Scott,rebecca.scott@global.ntt
CHG-000060,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,SFDC_ACV_Revenue,34155.56,11433.37,2026-07-01,Rebecca Scott,rebecca.scott@global.ntt
CHG-000061,00605B55NUS3K7TAKF,Beacon Logistics LLC,Beacon Logistics LLC - Backup & DR,SFDC_ACV_Gp,6458.88,2162.07,2026-07-01,Rebecca Scott,rebecca.scott@global.ntt
CHG-000062,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,ForecastCategory,Not Set,Omitted,2026-07-02,Rebecca Scott,rebecca.scott@global.ntt
CHG-000063,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,SFDC_ACV_Revenue,0,11153.94,2026-07-02,Rebecca Scott,rebecca.scott@global.ntt
CHG-000064,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,SFDC_ACV_Gp,0,1688.14,2026-07-02,Rebecca Scott,rebecca.scott@global.ntt
CHG-000065,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,OpportunityStage,Identification,Requirements Definition,2026-07-03,Rebecca Scott,rebecca.scott@global.ntt
CHG-000066,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,OpportunityStage,Requirements Definition,Qualification,2026-07-08,Rebecca Scott,rebecca.scott@global.ntt
CHG-000067,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,ForecastCategory,Omitted,Pipeline,2026-07-08,Rebecca Scott,rebecca.scott@global.ntt
CHG-000068,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,Confidence,0.00,0.27,2026-07-08,Rebecca Scott,rebecca.scott@global.ntt
CHG-000069,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,OpportunityStage,Qualification,Proposal,2026-07-10,Rebecca Scott,rebecca.scott@global.ntt
CHG-000070,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,ForecastCategory,Pipeline,Best Case,2026-07-10,Rebecca Scott,rebecca.scott@global.ntt
CHG-000071,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,Confidence,0.27,0.57,2026-07-10,Rebecca Scott,rebecca.scott@global.ntt
CHG-000072,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,OpportunityStage,Proposal,Proposal Evaluation,2026-07-11,Rebecca Scott,rebecca.scott@global.ntt
CHG-000073,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,SFDC_ACV_Revenue,11153.94,6429.5,2026-08-04,Rebecca Scott,rebecca.scott@global.ntt
CHG-000074,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,SFDC_ACV_Gp,1688.14,973.1,2026-08-04,Rebecca Scott,rebecca.scott@global.ntt
CHG-000075,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,OpportunityStage,Proposal Evaluation,Finalist,2026-08-15,Rebecca Scott,rebecca.scott@global.ntt
CHG-000076,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,OpportunityStage,Finalist,Deal Won,2026-09-07,Rebecca Scott,rebecca.scott@global.ntt
CHG-000077,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,ForecastCategory,Best Case,Closed,2026-09-07,Rebecca Scott,rebecca.scott@global.ntt
CHG-000078,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,Confidence,0.57,0.98,2026-09-07,Rebecca Scott,rebecca.scott@global.ntt
CHG-000079,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,SFDC_ACV_Revenue,6429.5,2851.29,2026-09-07,Rebecca Scott,rebecca.scott@global.ntt
CHG-000080,00605S5VRWPV48UAWJ,Cascade Enterprises Ltd.,Cascade Enterprises Ltd. - SD-WAN Rollout,SFDC_ACV_Gp,973.1,431.54,2026-09-07,Rebecca Scott,rebecca.scott@global.ntt
CHG-000081,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,ForecastCategory,Not Set,Pipeline,2026-04-26,Brian Thompson,brian.thompson@global.ntt
CHG-000082,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,Confidence,0.00,0.23,2026-04-26,Brian Thompson,brian.thompson@global.ntt
CHG-000083,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,SFDC_ACV_Revenue,0,34247.55,2026-04-26,Brian Thompson,brian.thompson@global.ntt
CHG-000084,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,SFDC_ACV_Gp,0,1177.93,2026-04-26,Brian Thompson,brian.thompson@global.ntt
CHG-000085,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,OpportunityStage,Qualification,Proposal,2026-04-29,Brian Thompson,brian.thompson@global.ntt
CHG-000086,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,ForecastCategory,Pipeline,Best Case,2026-04-29,Brian Thompson,brian.thompson@global.ntt
CHG-000087,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,Confidence,0.23,0.61,2026-04-29,Brian Thompson,brian.thompson@global.ntt
CHG-000088,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,OpportunityStage,Proposal,Proposal Evaluation,2026-05-18,Brian Thompson,brian.thompson@global.ntt
CHG-000089,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,SFDC_ACV_Revenue,34247.55,33046.03,2026-06-09,Brian Thompson,brian.thompson@global.ntt
CHG-000090,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,SFDC_ACV_Gp,1177.93,1136.6,2026-06-09,Brian Thompson,brian.thompson@global.ntt
CHG-000091,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,OpportunityStage,Proposal Evaluation,Finalist,2026-06-15,Brian Thompson,brian.thompson@global.ntt
CHG-000092,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,ForecastCategory,Best Case,Commit,2026-06-15,Brian Thompson,brian.thompson@global.ntt
CHG-000093,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,Confidence,0.61,0.80,2026-06-15,Brian Thompson,brian.thompson@global.ntt
CHG-000094,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,OpportunityStage,Finalist,Deal Lost,2026-07-24,Brian Thompson,brian.thompson@global.ntt
CHG-000095,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,ForecastCategory,Commit,Omitted,2026-07-24,Brian Thompson,brian.thompson@global.ntt
CHG-000096,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,Confidence,0.80,0.10,2026-07-24,Brian Thompson,brian.thompson@global.ntt
CHG-000097,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,SFDC_ACV_Revenue,33046.03,33357.38,2026-07-24,Brian Thompson,brian.thompson@global.ntt
CHG-000098,00606FP50LSD3EURWP,Cobalt Holdings Co.,Cobalt Holdings Co. - Digital Workplace Upgrade,SFDC_ACV_Gp,1136.6,1147.31,2026-07-24,Brian Thompson,brian.thompson@global.ntt
CHG-000099,00607FQBSL0SW68HS2,Beacon Logistics LLC,Beacon Logistics LLC - Managed Services Renewal,ForecastCategory,Not Set,Omitted,2026-03-18,Melissa Adams,melissa.adams@global.ntt
CHG-000100,00607FQBSL0SW68HS2,Beacon Logistics LLC,Beacon Logistics LLC - Managed Services Renewal,Confidence,0.00,0.01,2026-03-18,Melissa Adams,melissa.adams@global.ntt
CHG-000101,00607FQBSL0SW68HS2,Beacon Logistics LLC,Beacon Logistics LLC - Managed Services Renewal,SFDC_ACV_Revenue,0,19244.53,2026-03-18,Melissa Adams,melissa.adams@global.ntt
CHG-000102,00607FQBSL0SW68HS2,Beacon Logistics LLC,Beacon Logistics LLC - Managed Services Renewal,SFDC_ACV_Gp,0,3400.52,2026-03-18,Melissa Adams,melissa.adams@global.ntt
CHG-000103,00607FQBSL0SW68HS2,Beacon Logistics LLC,Beacon Logistics LLC - Managed Services Renewal,SFDC_ACV_Revenue,19244.53,18706.32,2026-03-18,Melissa Adams,melissa.adams@global.ntt
CHG-000104,00607FQBSL0SW68HS2,Beacon Logistics LLC,Beacon Logistics LLC - Managed Services Renewal,SFDC_ACV_Gp,3400.52,3305.42,2026-03-18,Melissa Adams,melissa.adams@global.ntt
CHG-000105,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,ForecastCategory,Not Set,Omitted,2026-03-30,Kathleen Green,kathleen.green@global.ntt
CHG-000106,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,Confidence,0.00,0.04,2026-03-30,Kathleen Green,kathleen.green@global.ntt
CHG-000107,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,SFDC_ACV_Revenue,0,9776.83,2026-03-30,Kathleen Green,kathleen.green@global.ntt
CHG-000108,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,SFDC_ACV_Gp,0,1598.19,2026-03-30,Kathleen Green,kathleen.green@global.ntt
CHG-000109,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,OpportunityStage,Identification,Requirements Definition,2026-04-09,Kathleen Green,kathleen.green@global.ntt
CHG-000110,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,OpportunityStage,Requirements Definition,Qualification,2026-04-12,Kathleen Green,kathleen.green@global.ntt
CHG-000111,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,OpportunityStage,Qualification,Proposal,2026-04-13,Kathleen Green,kathleen.green@global.ntt
CHG-000112,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,ForecastCategory,Omitted,Pipeline,2026-04-13,Kathleen Green,kathleen.green@global.ntt
CHG-000113,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,Confidence,0.04,0.38,2026-04-13,Kathleen Green,kathleen.green@global.ntt
CHG-000114,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,SFDC_ACV_Revenue,9776.83,10879.79,2026-04-23,Kathleen Green,kathleen.green@global.ntt
CHG-000115,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,SFDC_ACV_Gp,1598.19,1778.49,2026-04-23,Kathleen Green,kathleen.green@global.ntt
CHG-000116,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,OpportunityStage,Proposal,Proposal Evaluation,2026-04-27,Kathleen Green,kathleen.green@global.ntt
CHG-000117,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,ForecastCategory,Pipeline,Commit,2026-04-27,Kathleen Green,kathleen.green@global.ntt
CHG-000118,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,Confidence,0.38,0.81,2026-04-27,Kathleen Green,kathleen.green@global.ntt
CHG-000119,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,OpportunityStage,Proposal Evaluation,Finalist,2026-05-05,Kathleen Green,kathleen.green@global.ntt
CHG-000120,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,OpportunityStage,Finalist,Deal Won,2026-05-18,Kathleen Green,kathleen.green@global.ntt
CHG-000121,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,ForecastCategory,Commit,Closed,2026-05-18,Kathleen Green,kathleen.green@global.ntt
CHG-000122,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,Confidence,0.81,1.00,2026-05-18,Kathleen Green,kathleen.green@global.ntt
CHG-000123,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,SFDC_ACV_Revenue,10879.79,9938.79,2026-05-18,Kathleen Green,kathleen.green@global.ntt
CHG-000124,00607IZCIBPFNEBROP,Cobalt Holdings Co.,Cobalt Holdings Co. - Wireless Expansion,SFDC_ACV_Gp,1778.49,1624.67,2026-05-18,Kathleen Green,kathleen.green@global.ntt
CHG-000125,00607MOU9YX23SKFUZ,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,OpportunityStage,Identification,Requirements Definition,2026-05-18,Brian Thompson,brian.thompson@global.ntt
CHG-000126,00607MOU9YX23SKFUZ,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,ForecastCategory,Not Set,Omitted,2026-05-23,Brian Thompson,brian.thompson@global.ntt
CHG-000127,00607MOU9YX23SKFUZ,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,Confidence,0.00,0.07,2026-05-23,Brian Thompson,brian.thompson@global.ntt
CHG-000128,00607MOU9YX23SKFUZ,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,SFDC_ACV_Revenue,0,7065.95,2026-05-23,Brian Thompson,brian.thompson@global.ntt
CHG-000129,00607MOU9YX23SKFUZ,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,SFDC_ACV_Gp,0,657.45,2026-05-23,Brian Thompson,brian.thompson@global.ntt
CHG-000130,00607MOU9YX23SKFUZ,Cobalt Holdings Co.,Cobalt Holdings Co. - Security Assessment,OpportunityStage,Requirements Definition,Qualification,2026-06-06,Brian Thompson,brian.thompson@global.ntt
