OpportunityGlobalRegionName,OpportunityCountry,AccountCode,AccountName,AccountGroup,AccountIndustry,OpportunityCode,OpportunityLineCode,OpportunityName,OpportunityStage,Confidence,ForecastCategory,OpportunityCreateDate,OpportunityCloseDate,AccountOwnerFullName,AccountOwnerEmailAdress,OpportunityOwnerFullName,OpportunityOwnerEmailAdress,ProductBusinessUnit,ServiceCategory,OrderType,ContractTermMonths,SFDC_ACV_Revenue,SFDC_ACV_Gp,SFDC_TCV_Revenue,SFDC_TCV_Gp,GM_Percent,Quarter,Month,QuarterlyBudget_ACVRevenue,QuarterlyBudget_ACVGp,QuarterlyGap_ACVGP,QuarterlyTotalPipeline_ACVGP,TP_RAGStatus,QuarterlyQualifiedPipeline_ACVGP,QP_RAGStatus,LOBPortfolioQuarterlyBudget_ACVRevenue,LOBPortfolioQuarterlyBudget_ACVGp,MonthlyBudget_ACVRevenue,MonthlyBudget_ACVGp,MonthlyClosedPlusCommit_ACVGP,ClosedCommit_RAGStatus,LOBPortfolioMonthlyBudget_ACVRevenue,LOBPortfolioMonthlyBudget_ACVGp
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,006H6S33CYM6HBXTTJ,00kQLQEJS2UT0XIJEE,Cobalt Holdings Co. - Cloud Connectivity,Deal Lost,0.02,Omitted,2026-06-28,2026-07-28,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Digital Workplace,Technical Services,Renewal,,2250.53,531.72,2250.53,531.72,23.63,FY26-Q2,2026-07,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,66677.81,20003.34,1960183.8,244237.44,305354.71,Green,20003.34,6001.0
North America,United States,001V8SQDYB439KFK2H,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc.,Transportation & Logistics,00689E3H2PIIL61YWP,00kDPF8OEKXQCNYTUX,Stonebridge Data Systems Inc. - Access Control Modernization,Deal Won,0.87,Closed,2026-02-10,2026-04-05,Scott Carter,scott.carter@global.ntt,Scott Carter,scott.carter@global.ntt,Networking,Product,New Business,,5000.79,966.66,5000.79,966.66,19.33,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,3027576.78,242206.14,1666156.26,207601.83,501687.68,Green,908273.03,72661.84
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,0066J99WG2DMWCO2DN,00k00JDJ7VQJTSOP0V,Cobalt Holdings Co. - Network Refresh,Deal Won,0.92,Closed,2026-04-03,2026-07-25,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Data Center,Technical Services,New Business,,25036.66,4418.22,25036.66,4418.22,17.65,FY26-Q2,2026-07,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,215696.58,64708.97,1960183.8,244237.44,305354.71,Green,64708.97,19412.69
North America,United States,001S3HZBD5RWVZIGB5,Meridian Insurance Group Co.,,Healthcare,0064LF5KVI62SMXR7Y,00kL8IMO6D2XI4USNP,Meridian Insurance Group Co. - Firewall Upgrade,Deal Lost,0.02,Omitted,2026-01-20,2026-04-01,Mark Lewis,mark.lewis@global.ntt,Mark Lewis,mark.lewis@global.ntt,Digital Workplace,Product,Renewal,,1297.63,219.73,1297.63,219.73,16.93,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,265402.76,21232.22,1666156.26,207601.83,501687.68,Green,79620.83,6369.67
North America,United States,001LXM2KNHJZQXCTQ6,"Orange, County Of","Orange, County Of",Public Sector,006BSHI1FBR0SF1NZH,00k29WAZURBQ2UJ3QX,Orange - Digital Workplace Upgrade,Deal Won,0.97,Closed,2026-03-15,2026-06-14,Christine Phillips,christine.phillips@global.ntt,Christine Phillips,christine.phillips@global.ntt,Networking,VBR,Expansion,,365.9,137.85,365.9,137.85,37.67,FY26-Q1,2026-06,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,13363.2,400.9,2054926.04,256042.26,295351.88,Green,4944.38,148.33
North America,United States,001LXM2KNHJZQXCTQ6,"Orange, County Of","Orange, County Of",Public Sector,006BSHI1FBR0SF1NZH,00kPOCXROINF6S54RO,Orange - Digital Workplace Upgrade,Deal Won,0.97,Closed,2026-03-15,2026-06-14,Christine Phillips,christine.phillips@global.ntt,Christine Phillips,christine.phillips@global.ntt,Networking,Technical Services,Expansion,,11078.77,2239.12,11078.77,2239.12,20.21,FY26-Q1,2026-06,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,646531.89,193959.57,2054926.04,256042.26,295351.88,Green,239216.8,71765.04
North America,United States,0014ZK03LE6FVIE1FY,Brightpath Solutions Inc.,,Insurance,006VNUOMMMO4UP0S8U,00kZBJYRYXLPC1PJTA,Brightpath Solutions Inc. - Colocation Expansion,Deal Won,0.98,Closed,2026-02-16,2026-04-02,Karen Phillips,karen.phillips@global.ntt,Karen Phillips,karen.phillips@global.ntt,Data Center,Product,Renewal,,32640.34,6327.12,32640.34,6327.12,19.38,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,858553.55,68684.28,1666156.26,207601.83,501687.68,Green,257566.06,20605.28
North America,United States,001IDCU5O265SZSYUS,"Marion, Public Health Department",,Public Sector,0061APBK5NGZ1X3ZW6,00kQJHRXIH0SL494J9,Marion - Managed Services Renewal,Deal Won,0.98,Closed,2026-02-21,2026-05-04,Brandon Parker,brandon.parker@global.ntt,Scott Carter,scott.carter@global.ntt,Security,Technical Services,New Business,,2649.93,730.26,2649.93,730.26,27.56,FY26-Q1,2026-05,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,43139.32,12941.79,1832771.9,228362.06,300953.42,Green,14235.98,4270.79
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,006SHNKF8JS3N7O8QA,00kN4IRC71U5HO8SKW,Cobalt Holdings Co. - Digital Workplace Upgrade,Deal Lost,0.48,Best Case,2026-06-12,2026-09-07,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Digital Workplace,SDIS,Expansion,12.0,2356.41,392.95,2356.41,392.95,16.68,FY26-Q2,2026-09,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,16039.2,4009.8,2417560.03,301226.22,599343.05,Green,5934.5,1483.63
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,006SHNKF8JS3N7O8QA,00kUHGDTKLT85DMHM6,Cobalt Holdings Co. - Digital Workplace Upgrade,Deal Lost,0.48,Best Case,2026-06-12,2026-09-07,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Networking,SDIS,Expansion,36.0,2027.4,249.09,6082.2,747.27,12.29,FY26-Q2,2026-09,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,182966.84,45741.71,2417560.03,301226.22,599343.05,Green,67697.73,16924.43
North America,United States,001C94N2D4N18Z7AGW,Fieldstone Financial Group Co.,,Manufacturing,006JYHB0GHVJGLS490,00kM3LYG7EY9FR8CL6,Fieldstone Financial Group Co. - Security Assessment,Proposal,0.66,Commit,2026-04-01,2026-09-19,Melissa Adams,melissa.adams@global.ntt,Melissa Adams,melissa.adams@global.ntt,Networking,Product,Renewal,,35741.17,3148.98,35741.17,3148.98,8.81,FY26-Q2,2026-09,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,3561855.03,284948.4,2417560.03,301226.22,599343.05,Green,1317886.36,105430.91
North America,United States,001C94N2D4N18Z7AGW,Fieldstone Financial Group Co.,,Manufacturing,006JYHB0GHVJGLS490,00kHLT82AVLTPV1INB,Fieldstone Financial Group Co. - Security Assessment,Proposal,0.66,Commit,2026-04-01,2026-09-19,Melissa Adams,melissa.adams@global.ntt,Melissa Adams,melissa.adams@global.ntt,Security,Product,Renewal,,6139.96,901.71,6139.96,901.71,14.69,FY26-Q2,2026-09,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,237661.88,19012.95,2417560.03,301226.22,599343.05,Green,87934.9,7034.79
North America,United States,001V8SQDYB439KFK2H,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc.,Transportation & Logistics,006S0PDSVCMQ2XDW6B,00kMUDXFHX7LKYLGI2,Stonebridge Data Systems Inc. - Unified Communications,Deal Lost,0.0,Omitted,2026-07-19,2026-08-18,Scott Carter,scott.carter@global.ntt,Scott Carter,scott.carter@global.ntt,Networking,Product,New Business,,42408.58,8933.45,42408.58,8933.45,21.07,FY26-Q2,2026-08,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,3561855.03,284948.4,2156202.22,268661.22,531309.38,Green,1175412.16,94032.97
North America,United States,001V8SQDYB439KFK2H,Stonebridge Data Systems Inc.,Stonebridge Data Systems Inc.,Transportation & Logistics,006S0PDSVCMQ2XDW6B,00kYG7HPVSU13MWUPS,Stonebridge Data Systems Inc. - Unified Communications,Deal Lost,0.0,Omitted,2026-07-19,2026-08-18,Scott Carter,scott.carter@global.ntt,Scott Carter,scott.carter@global.ntt,Data Center,Product,New Business,,18194.97,1680.97,18194.97,1680.97,9.24,FY26-Q2,2026-08,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,1010063.0,80805.04,2156202.22,268661.22,531309.38,Green,333320.79,26665.66
North America,United States,001OC8JSQQ405NJPUM,Clearwater Consumer Goods LLC,,Telecommunications,006T9BDBTTVILPB1BY,00k2TT4HJW297MGWGP,Clearwater Consumer Goods LLC - Security Assessment,Deal Lost,0.0,Omitted,2026-03-27,2026-04-26,Daniel King,daniel.king@global.ntt,Daniel King,daniel.king@global.ntt,Networking,Technical Services,Renewal,,10701.89,2679.77,10701.89,2679.77,25.04,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,646531.89,193959.57,1666156.26,207601.83,501687.68,Green,193959.57,58187.87
North America,United States,001OC8JSQQ405NJPUM,Clearwater Consumer Goods LLC,,Telecommunications,006T9BDBTTVILPB1BY,00k4IKI01BL7TGHQHP,Clearwater Consumer Goods LLC - Security Assessment,Deal Lost,0.0,Omitted,2026-03-27,2026-04-26,Daniel King,daniel.king@global.ntt,Daniel King,daniel.king@global.ntt,Networking,Product,Renewal,,13064.53,1881.53,13064.53,1881.53,14.4,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,3027576.78,242206.14,1666156.26,207601.83,501687.68,Green,908273.03,72661.84
North America,Canada,001HOCLQ8DU637G29L,Clearwater Networks Co.,Clearwater Networks Co.,Telecommunications,006NI466A3E35NGZCU,00kVBYSWMHYBRJMPQH,Clearwater Networks Co. - Backup & DR,Deal Won,1.0,Closed,2026-07-19,2026-08-18,Linda Green,linda.green@global.ntt,Linda Green,linda.green@global.ntt,Data Center,VBR,New Business,,1629.19,661.37,1629.19,661.37,40.6,FY26-Q2,2026-08,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,4458.24,133.75,2156202.22,268661.22,531309.38,Green,1471.22,44.14
North America,United States,001SAEQ8IKIMZLX68U,Redstone Manufacturing Inc.,Redstone Manufacturing Inc.,Healthcare,006FW1A4BE0W9UPY1Y,00k4RDME8R5M87XP8U,Redstone Manufacturing Inc. - Data Center Migration,Deal Won,1.0,Closed,2026-08-30,2026-09-11,Angela Martinez,angela.martinez@global.ntt,Angela Martinez,angela.martinez@global.ntt,Networking,Technical Services,Expansion,,9382.7,2028.82,9382.7,2028.82,21.62,FY26-Q2,2026-09,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,760625.76,228187.73,2417560.03,301226.22,599343.05,Green,281431.53,84429.46
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,0066FF7SCPVA1YAWI0,00kGTRKHHX28YSYI5B,Cobalt Holdings Co. - Wireless Expansion,Deal Won,1.0,Closed,2026-03-26,2026-07-15,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Networking,VBR,Renewal,,468.33,147.91,468.33,147.91,31.58,FY26-Q2,2026-07,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,15721.42,471.64,1960183.8,244237.44,305354.71,Green,4716.43,141.49
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,006AZNA81BBT8UAZPW,00kPRKHL4JPY2K3GZD,Cobalt Holdings Co. - Network Refresh,Deal Lost,0.0,Omitted,2026-05-19,2026-07-23,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Digital Workplace,Product,New Business,,26929.51,3996.12,26929.51,3996.12,14.84,FY26-Q2,2026-07,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,312238.54,24979.08,1960183.8,244237.44,305354.71,Green,93671.56,7493.72
North America,United States,001LA0TQ6LU0VHY0EF,"Monroe, Metropolitan Water District",,Public Sector,006W4GCY90MREMYFRK,00k91M987X6PC5BXTN,Monroe - Digital Workplace Upgrade,Deal Won,1.0,Closed,2026-06-03,2026-08-17,Deborah Hall,deborah.hall@global.ntt,Deborah Hall,deborah.hall@global.ntt,Networking,VBR,Renewal,,403.01,171.32,403.01,171.32,42.51,FY26-Q2,2026-08,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,15721.42,471.64,2156202.22,268661.22,531309.38,Green,5188.07,155.64
North America,United States,001LA0TQ6LU0VHY0EF,"Monroe, Metropolitan Water District",,Public Sector,006W4GCY90MREMYFRK,00k7437722GGNNLKJU,Monroe - Digital Workplace Upgrade,Deal Won,1.0,Closed,2026-06-03,2026-08-17,Deborah Hall,deborah.hall@global.ntt,Deborah Hall,deborah.hall@global.ntt,Security,Product,Renewal,,4755.86,1023.21,4755.86,1023.21,21.51,FY26-Q2,2026-08,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,237661.88,19012.95,2156202.22,268661.22,531309.38,Green,78428.42,6274.27
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,006DSZH24T84Q57D9A,00k2L2VJUBBO8VY4QT,Cobalt Holdings Co. - Cloud Connectivity,Identification,0.03,Omitted,2026-04-10,2026-05-19,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Digital Workplace,Product,Renewal,,1345.01,79.27,1345.01,79.27,5.89,FY26-Q1,2026-05,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,265402.76,21232.22,1832771.9,228362.06,300953.42,Green,87582.91,7006.63
North America,United States,001C4CW7WRPWUSFX0Z,Kingsley Technologies Ltd.,Kingsley Technologies Ltd.,Transportation & Logistics,006I2OXCZZK5QYG7IW,00kEO13XANPGPNVLM5,Kingsley Technologies Ltd. - Cisco IE3300,Deal Won,1.0,Closed,2026-08-22,2026-09-02,Rebecca Bell,rebecca.bell@global.ntt,Rebecca Bell,rebecca.bell@global.ntt,Networking,Product,New Business,,13491.08,2311.55,13491.08,2311.55,17.13,FY26-Q2,2026-09,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,3561855.03,284948.4,2417560.03,301226.22,599343.05,Green,1317886.36,105430.91
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,006J67DW1AV6J47WWT,00kO1IAD0JOSJGCC69,Cobalt Holdings Co. - Cloud Connectivity,Deal Lost,0.04,Omitted,2026-04-27,2026-05-29,Brian Thompson,BRIAN.THOMPSON@GLOBAL.NTT,Brian Thompson,brian.thompson@global.ntt,Digital Workplace,Product,New Business,,749.56,126.18,749.56,126.18,16.83,FY26-Q1,2026-05,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,265402.76,21232.22,1832771.9,228362.06,300953.42,Green,87582.91,7006.63
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,006J67DW1AV6J47WWT,00kP0DF4S3UEFTE4JZ,Cobalt Holdings Co. - Cloud Connectivity,Deal Lost,0.04,Omitted,2026-04-27,2026-05-29,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Networking,Product,New Business,,23598.49,3256.51,23598.49,3256.51,13.8,FY26-Q1,2026-05,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,3027576.78,242206.14,1832771.9,228362.06,300953.42,Green,999100.34,79928.03
North America,United States,001DWB061IGYCTQ0H1,"Fairfax, City Of","Fairfax, City Of",Public Sector,006LJHNZ6GIQL2IOTN,00kJ5TSKG1BBXWL1CP,Fairfax - Unified Communications,Deal Lost,0.03,Omitted,2026-04-28,2026-06-19,Karen Phillips,karen.phillips@global.ntt,Karen Phillips,karen.phillips@global.ntt,Security,Product,Renewal,,5674.44,1153.71,5674.44,1153.71,20.33,FY26-Q1,2026-06,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,202012.6,16161.01,2054926.04,256042.26,295351.88,Green,74744.66,5979.57
North America,United States,001DWB061IGYCTQ0H1,"Fairfax, City Of","Fairfax, City Of",Public Sector,006LJHNZ6GIQL2IOTN,00kKE6U8W6OG8367KT,Fairfax - Unified Communications,Deal Lost,0.03,Omitted,2026-04-28,2026-06-19,Karen Phillips,karen.phillips@global.ntt,Karen Phillips,karen.phillips@global.ntt,Networking,Product,Renewal,,13488.88,1790.78,13488.88,1790.78,13.28,FY26-Q1,2026-06,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,3027576.78,242206.14,2054926.04,256042.26,295351.88,Green,1120203.41,89616.27
North America,United States,001DWB061IGYCTQ0H1,"Fairfax, City Of","Fairfax, City Of",Public Sector,006LJHNZ6GIQL2IOTN,00k0R0KMHNLVPKNU25,Fairfax - Unified Communications,Deal Lost,0.03,Omitted,2026-04-28,2026-06-19,Karen Phillips,karen.phillips@global.ntt,Karen Phillips,karen.phillips@global.ntt,Data Center,Product,Renewal,,4815.02,639.34,4815.02,639.34,13.28,FY26-Q1,2026-06,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,858553.55,68684.28,2054926.04,256042.26,295351.88,Green,317664.81,25413.18
North America,Canada,001YZI9KTRY6ON1861,Granite Enterprises Corp.,Granite Enterprises Corp.,Telecommunications,0063M024G5H7BIVTYO,00kEXFSLAYYJB5P4O0,Granite Enterprises Corp. - Network Refresh,Deal Lost,0.04,Omitted,2026-08-07,2026-08-22,Angela Martinez,angela.martinez@global.ntt,Angela Martinez,angela.martinez@global.ntt,Digital Workplace,Product,Renewal,,8518.67,1281.02,8518.67,1281.02,15.04,FY26-Q2,2026-08,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,312238.54,24979.08,2156202.22,268661.22,531309.38,Green,103038.72,8243.1
North America,United States,001NG2VT4LSV0LWQT5,Kingsley Systems LLC,Kingsley Systems LLC,Technology,006B33PVU81L5O193D,00k4Z3WHVZ9042D2ZF,Kingsley Systems LLC - Cisco IE3300,Deal Lost,0.0,Omitted,2026-02-14,2026-04-01,Michelle McDermott,michelle.mcdermott@global.ntt,Michelle McDermott,michelle_mcdermott@global.ntt,Networking,VBR,Renewal,,250.0,108.32,250.0,108.32,43.33,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,13363.2,400.9,1666156.26,207601.83,501687.68,Green,4008.96,120.27
North America,United States,00149F330NQ4F37YMU,Millbrook Insurance Group Co.,Millbrook Holdings Ltd.,Retail & Consumer Goods,0066N38SDZPMQKK9KQ,00k5F9EV9O8WM5A1OZ,Millbrook Insurance Group Co. - Endpoint Protection,Deal Won,0.98,Closed,2026-01-03,2026-04-01,Linda Phillips,linda.phillips@global.ntt,Linda Phillips,linda.phillips@global.ntt,Networking,Product,Renewal,,11289.86,1353.77,11289.86,1353.77,11.99,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,3027576.78,242206.14,1666156.26,207601.83,501687.68,Green,908273.03,72661.84
North America,United States,00149F330NQ4F37YMU,Millbrook Insurance Group Co.,Millbrook Holdings Ltd.,Retail & Consumer Goods,0066N38SDZPMQKK9KQ,00kA744NGAHWMC96PI,Millbrook Insurance Group Co. - Endpoint Protection,Deal Won,0.98,Closed,2026-01-03,2026-04-01,Linda Phillips,linda.phillips@global.ntt,Linda Phillips,linda.phillips@global.ntt,Data Center,Technical Services,Renewal,,24239.19,5552.38,24239.19,5552.38,22.91,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,183342.09,55002.63,1666156.26,207601.83,501687.68,Green,55002.63,16500.79
